TYPE,COMMON-NAME,FRENCH-NAME,ENGLISH-NAME,CODE,CODE-NUMBER
,Painted Redstart,Paruline à ailes blanches,Myioborus pictus,PARE,2.0
,Hepatic Tanager,Piranga orangé,Piranga flava,HETA,2.0
,Summer Tanager,Piranga vermillon,Piranga rubra,SUTA,1.0
,Scarlet Tanager,Piranga écarlate,Piranga olivacea,SCTA,1.0
,Western Tanager,Piranga à tête rouge,Piranga ludoviciana,WETA,1.0
,Northern Cardinal,Cardinal rouge,Cardinalis cardinalis,NOCA,1.0
,Pyrrhuloxia,Cardinal pyrrhuloxia,Cardinalis sinuatus,PYRR,1.0
,Rose-breasted Grosbeak,Cardinal à poitrine rose,Pheucticus ludovicianus,RBGR,1.0
,Black-headed Grosbeak,Cardinal à tête noire,Pheucticus melanocephalus,BHGR,1.0
,Blue Grosbeak,Guiraca bleu,Passerina caerulea,BLGR,1.0
,Lazuli Bunting,Passerin azuré,Passerina amoena,LAZB,1.0
,Indigo Bunting,Passerin indigo,Passerina cyanea,INBU,1.0
,Varied Bunting,Passerin varié,Passerina versicolor,VABU,2.0
,Painted Bunting,Passerin nonpareil,Passerina ciris,PABU,1.0
,Dickcissel,Dickcissel d'Amérique,Spiza americana,DICK,1.0
,Red-crested Cardinal,Paroare huppé,Paroaria coronata,RCCA,2.0
,Yellow-billed Cardinal,Paroare à bec jaune,Paroaria capitata,YBCA,2.0
,Saffron Finch,Sicale bouton-d'or,Sicalis flaveola,SAFI,2.0
